10:00:12: Start[1][A]
10:00:12: Start[2][A]
10:00:12: Start[3][A]
10:04:19: Start[4][A]
10:04:19: Start[5][A]
10:28:42: Chip: 363; Nr: 363; (10:28:41,8);
10:28:42: Chip: 172; Nr: 172; (10:28:42,6);
10:28:43: Chip: 20181809; Nr: 1809; (10:28:42,6);
10:28:43: 436  Susanne Aust: (10:28:42,8);
10:28:43: Chip: 436; Nr: 436; (10:28:42,8);
10:28:43: 2203  Sarah Kasperski: (10:28:43,1);
10:28:43: Chip: 20182203; Nr: 2203; (10:28:43,1);
10:28:43: 377  Katharina Hellfayer: (10:28:43,1);
10:28:43: Chip: 377; Nr: 377; (10:28:43,1);
10:28:44: Chip: 20181809; Nr: 1809; (10:28:43,8);
10:28:44: Chip: 436; Nr: 436; (10:28:44,1);
10:28:44: Chip: 172; Nr: 172; (10:28:44,6);
10:28:46: Chip: 172; Nr: 172; (10:28:45,8);
10:28:46: 349  Siegfried Ballenthin: (10:28:46,1);
10:28:46: Chip: 349; Nr: 349; (10:28:46,1);
10:28:48: Chip: 172; Nr: 172; (10:28:48,1);
10:28:48: 2209  Ren� Borrmann: (10:28:48,3);
10:28:48: Chip: 20182209; Nr: 2209; (10:28:48,3);
10:28:51: 888  Michael Kiese: (10:28:51,1);
10:28:51: Chip: 20180888; Nr: 888; (10:28:51,1);
10:28:51: 67  Heiko Treff: (10:28:51,3);
10:28:51: Chip: 20180067; Nr: 67; (10:28:51,3);
10:28:51: 149  Anna Hauer: (10:28:51,3);
10:28:51: Chip: 149; Nr: 149; (10:28:51,3);
10:28:52: 310  Uwe Stammer: (10:28:51,8);
10:28:52: Chip: 20180310; Nr: 310; (10:28:51,8);
10:28:52: 473  Ralf Scherbe: (10:28:52,3);
10:28:52: Chip: 473; Nr: 473; (10:28:52,3);
10:28:52: 152  Michael Hausner: (10:28:52,6);
10:28:53: Chip: 152; Nr: 152; (10:28:52,6);
10:28:53: 549  Rainer Riedel: (10:28:52,6);
10:28:53: Chip: 549; Nr: 549; (10:28:52,6);
10:28:53: 336  Johann Wenzel: (10:28:52,8);
10:28:53: Chip: 336; Nr: 336; (10:28:52,8);
10:28:53: 550  Felix Z�ll: (10:28:53,1);
10:28:53: Chip: 550; Nr: 550; (10:28:53,1);
10:28:53: Chip: 20180310; Nr: 310; (10:28:53,3);
10:28:54: Chip: 549; Nr: 549; (10:28:53,8);
10:28:54: 388  Michael Kr�ger: (10:28:54,3);
10:28:54: Chip: 388; Nr: 388; (10:28:54,3);
10:28:55: 285  Erich Schnabel: (10:28:55,6);
10:28:56: Chip: 285; Nr: 285; (10:28:55,6);
10:28:56: 312  Jens Schr�der: (10:28:56,3);
